"","x"
"273","ENSMUSG00000021638"
"274","ENSMUSG00000030730"
"275","ENSMUSG00000076526"
"276","ENSMUSG00000020878"
"277","ENSMUSG00000088037"
"278","ENSMUSG00000097874"
"279","ENSMUSG00000006342"
"280","ENSMUSG00000102539"
"281","ENSMUSG00000066178"
"282","ENSMUSG00000024670"
"283","ENSMUSG00000006576"
"284","ENSMUSG00000022885"
"285","ENSMUSG00000050232"
"286","ENSMUSG00000047641"
"287","ENSMUSG00000086754"
"288","ENSMUSG00000060224"
"289","ENSMUSG00000103049"
"290","ENSMUSG00000088412"
"291","ENSMUSG00000036196"
"292","ENSMUSG00000035383"
"293","ENSMUSG00000069763"
"294","ENSMUSG00000085397"
"295","ENSMUSG00000028264"
"296","ENSMUSG00000034855"
"297","ENSMUSG00000041261"
"298","ENSMUSG00000047415"
"299","ENSMUSG00000006587"
"300","ENSMUSG00000103586"
"301","ENSMUSG00000027221"
"302","ENSMUSG00000103897"
"303","ENSMUSG00000048521"
"304","ENSMUSG00000020092"
"305","ENSMUSG00000029096"
"306","ENSMUSG00000028071"
"307","ENSMUSG00000048480"
"308","ENSMUSG00000020930"
"309","ENSMUSG00000085517"
"310","ENSMUSG00000086765"
"311","ENSMUSG00000028766"
"312","ENSMUSG00000093507"
"313","ENSMUSG00000043807"
"314","ENSMUSG00000050248"
"315","ENSMUSG00000023274"
"316","ENSMUSG00000036805"
"317","ENSMUSG00000097357"
"318","ENSMUSG00000104400"
"319","ENSMUSG00000021983"
"320","ENSMUSG00000080573"
"321","ENSMUSG00000060586"
"322","ENSMUSG00000009092"
"323","ENSMUSG00000054293"
"324","ENSMUSG00000097693"
"325","ENSMUSG00000033350"
"326","ENSMUSG00000103898"
"327","ENSMUSG00000050103"
"328","ENSMUSG00000024190"
"329","ENSMUSG00000024028"
"330","ENSMUSG00000034949"
"331","ENSMUSG00000102635"
"332","ENSMUSG00000047443"
"333","ENSMUSG00000046470"
"334","ENSMUSG00000080365"
"335","ENSMUSG00000084992"
"336","ENSMUSG00000086165"
"337","ENSMUSG00000097604"
"338","ENSMUSG00000085782"
"339","ENSMUSG00000033967"
"340","ENSMUSG00000001768"
"341","ENSMUSG00000030769"
"342","ENSMUSG00000075334"
"343","ENSMUSG00000028179"
"344","ENSMUSG00000026204"
