"","x"
"1704","ENSMUSG00000064738"
"1705","ENSMUSG00000089908"
"1706","ENSMUSG00000057396"
"1707","ENSMUSG00000005980"
"1708","ENSMUSG00000038347"
"1709","ENSMUSG00000040260"
"1710","ENSMUSG00000099958"
"1711","ENSMUSG00000086010"
"1712","ENSMUSG00000093690"
"1713","ENSMUSG00000085624"
"1714","ENSMUSG00000102278"
"1715","ENSMUSG00000085408"
"1716","ENSMUSG00000020592"
"1717","ENSMUSG00000085178"
"1718","ENSMUSG00000040936"
"1719","ENSMUSG00000103039"
"1720","ENSMUSG00000073077"
"1721","ENSMUSG00000103467"
"1722","ENSMUSG00000098050"
"1723","ENSMUSG00000021187"
"1724","ENSMUSG00000026833"
"1725","ENSMUSG00000071192"
"1726","ENSMUSG00000042216"
"1727","ENSMUSG00000028278"
"1728","ENSMUSG00000103973"
"1729","ENSMUSG00000086047"
"1730","ENSMUSG00000088625"
"1731","ENSMUSG00000103543"
"1732","ENSMUSG00000104094"
"1733","ENSMUSG00000094546"
